"TODO List","TODO List",,/app/modules/views,"Please don't change the name of the application"
"Enter your credentials below to login","Entrez vos identifiants ci-dessous pour vous connecter",,/app/modules/views,
"Login successful !\nWelcome back %s !","Connexion réussie !\nBon retour %s !",,/app/modules/views,
"Make sure you've entered the correct username and password","Assurez-vous que vous avez entré le nom d'utilisateur correct et le mot de passe",,/app/modules/views,
"I forgot my password","J'ai oublié mon mot de passe",,/app/modules/views,
"Enter your address in the field below. A new password will be sent to your inbox.","Entrez votre adresse dans le champ ci-dessous. Un nouveau mot de passe sera envoyé à votre boîte de réception.",,/app/modules/views,
"Sign up for free! No credit card required!","Inscrivez-vous gratuitement ! Aucune carte de crédit !",,/app/modules/views,
"Thank you for signing up !\nPlease check your email address to activate your account.","Je vous remercie pour vous inscrire !\nVeuillez vérifier votre adresse e-mail pour activer votre compte.",,/app/modules/views,
"We were unable to sign you up.\nPlease correct the marked fields.","Nous n'avons pas pu vous inscrire.\nVeuillez corriger les champs marqués.",,/app/modules/views,
"Terms and conditions","Termes et conditions",,/app/modules/views,
"Just one user online","Un seul utilisateur en ligne",,/app/modules/views,
Password,"Mot de passe",,/app/modules/views,
